"id","corporate_office","zone","circle","division","subdivision","section","rate_schedule_main_grp","tariff","rate_schedule_code","debit_rate","credit_rate","demand_based_tariff","time_of_day","voltage_class_kv","active_installations","inactive_installations","total_installations","metered_installations","unmetered_installations","total_metered_unmetered","dc_mnr_installations","installations_billed","installations_unbilled","total_billed_unbilled","ob_active","ob_inactive","ob_total","demand_active","demand_inactive","demand_total","collection_active","collection_inactive","collection_total","assessed_taxed_consumption","assessed_tax_exempted_consumption","metered_taxed_consumption","metered_tax_exempted_consumption","total_consumption","bill_cancellation_consumption","net_consumption","wheeled_energy_units","ob_revenue","ob_interest_rev_misc","ob_interest_tax","ob_tax","ob_total_sum","misc_revenue","misc_demand","misc_interest_rev_arrears","misc_total_sum","cur_revenue","cur_misc_demand","cur_interest_rev_arrears","cur_interest_tax","cur_tax","cur_total_sum","dr_adj_revenue","dr_adj_misc","dr_adj_tax","dr_adj_total","bc_revenue","bc_misc","bc_interest_rev_misc","bc_interest_tax","bc_tax","bc_total_sum","net_demand_revenue","net_demand_tax","coll_revenue","coll_interest_rev_misc","coll_interest_tax","coll_tax","coll_total_sum","cr_adj_revenue","cr_adj_misc","cr_adj_tax","cr_adj_total","net_iod","net_reversal_iod","suspense_to_rr_transfer","from_rr_transfer","to_rr_transfer","pc_revenue","pc_interest_revenue","pc_interest_tax","pc_tax","pc_total","net_collection","write_off","cb_revenue","cb_interest_rev_misc","cb_interest_tax","cb_tax","cb_total_sum","average_cost_of_supply","pct_live_installations","pct_billed_installations","pct_dc_mnr_installations","pct_metered_consumption","pct_assessed_consumption","pct_coll_eff_with_adj","pct_coll_eff_without_adj","ratio_arrears_to_demand","demand_per_unit","coll_per_unit_with_adj","coll_per_unit_without_adj","consumption_per_installation","pct_recovery_of_avg_cost","gst_tcs_ob","gst_tcs_demand","gst_tcs_debit_adjustment","gst_tcs_bill_cancellation","gst_tcs_net_demand","gst_tcs_collection","gst_tcs_credit_adjustment","gst_tcs_payment_cancellation","gst_tcs_cb"
"267","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","HT","HT","HT2A2-N","23.2237","61.2617","N","N","Upto 11","22","2","24","22","0","22","0","20","2","22","28425419.24","0.0","28425419.24","217692765.21","0.0","217692765.21","211416610.18","0.0","211416610.18","0.0","0.0","19259453.94","0.0","19259453.94","44503.07","19214950.87","0.0","28425419.24","600985.49","45316.27","2346373.21","31732219.29","28425419.24","14983964.39","354372.45","43763756.08","186657931.56","14983964.39","354372.45","0.0","17288494.56","219284762.96","1203448.94","0.0","0.0","1203448.94","845288.96","0.0","0.0","0.0","63576.49","908865.45","217692765.21","17224918.08","211416610.18","348331.11","0.0","19300132.58","232847270.6","1184862.31","0.0","0.0","1184862.31","3347578.28","24967.56","0.0","0.0","0.0","314528.43","0.0","0.0","0.0","314528.43","233717604.48","131026.35","34570547.92","607026.83","0.0","271158.71","35793768.39","9.92","100","90.9091","0","100.0","0.0","89.3824","88.5188","0.135453","13.7206","12.2638","12.09","875429.7246","121.8752","314125.09","1813106.57","0.0","0.0","1813106.57","1782196.74","0.0","0.0","345034.92"
"268","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","HT","HT","HT2B1","23.2707","61.2707","N","N","11","18","1","19","18","0","18","0","17","1","18","20798344.48","0.0","20798344.48","178821877.93","0.0","178821877.93","173643157.49","0.0","173643157.49","0.0","0.0","15647377.47","0.0","15647377.47","26628.47","15620749.0","0.0","20798344.48","394861.09","22662.87","1971537.72","23278090.48","20798344.48","12174371.3","377177.52","33349893.3","153390947.79","12174371.3","377177.52","0.0","12620638.71","178563135.32","878176.75","0.0","0.0","878176.75","550344.25","0.0","0.0","0.0","9793.62","560137.87","178821877.93","12610845.09","173643157.49","375994.96","0.0","14546425.65","189111491.53","1723720.17","0.0","0.0","1723720.17","1995892.87","42102.67","0.0","0.0","0.0","63037.02","0.0","0.0","0.0","63037.02","190772174.68","16920.16","25960144.77","396043.66","0.0","35957.15","26484546.88","9.92","100","94.4444","0","100.0","0.0","89.8098","89.2401","0.124463","13.5992","12.2134","12.0858","869298.7482","121.8329","90684.33","547630.41","0.0","0.0","547630.41","545913.43","0.0","0.0","92401.31"
"269","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","HT","HT","HT2B2","23.2737","61.2737","N","N","11","22","2","24","22","0","22","0","20","2","22","50636055.08","0.0","50636055.08","198494793.85","0.0","198494793.85","212042728.34","0.0","212042728.34","0.0","0.0","19540518.88","0.0","19540518.88","44041.13","19496477.74","0.0","50636055.08","1448717.53","19184.71","1468495.72","53720638.83","50636055.08","13732497.1","481909.47","64850461.64","169441973.42","13732497.1","481909.47","0.0","14566215.15","198222595.14","918290.0","0.0","0.0","918290.0","294282.7","0.0","0.0","0.0","31269.49","325552.18","198494793.85","14534945.66","212042728.34","464314.4","0.0","15449265.26","228735071.31","382250.71","0.0","0.0","382250.71","2793189.29","94109.64","0.0","0.0","0.0","37027.39","0.0","0.0","0.0","37027.39","229080294.62","152948.55","36935172.05","1466312.59","0.0","554176.12","39133357.58","9.92","100","90.9091","0","100.0","0.0","87.703","86.9474","0.148237","13.5099","11.8486","11.7057","888205.4035","118.0008","148185.79","808274.33","0.0","0.0","808274.33","778763.31","0.0","0.0","177696.81"
"270","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","HT","HT","HT2C1","23.2708","61.2708","N","N","11","30","2","32","30","0","30","0","28","2","30","58106799.92","0.0","58106799.92","242111946.33","0.0","242111946.33","257995722.15","0.0","257995722.15","0.0","0.0","26143029.42","0.0","26143029.42","100109.7","26042919.71","0.0","58106799.92","1091718.42","12240.17","2216352.55","61611957.65","58106799.92","17821553.16","1085275.1","77013628.18","204469160.45","17821553.16","1085275.1","0.0","18158151.69","241534140.39","152065.26","0.0","0.0","152065.26","322935.87","0.0","0.0","0.0","88897.65","411833.52","242111946.33","18069254.04","257995722.15","1066344.12","0.0","20019102.0","280535661.57","1693879.05","0.0","0.0","1693879.05","3732479.77","102957.54","0.0","0.0","0.0","338024.8","0.0","0.0","0.0","338024.8","281891515.83","282422.62","41940601.49","1110649.39","0.0","266504.59","43528423.91","9.92","100","93.3333","0","100.0","0.0","89.1962","88.0671","0.136581","12.1906","10.8736","10.7308","871434.3139","108.1734","184846.59","1480315.14","0.0","0.0","1480315.14","1454493.3","0.0","0.0","210668.44"
"271","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","LT","LT1","LT1-M","23.1017","61.1017","N","N","Upto 11","1669","127","1796","1669","0","1669","0","1543","126","1669","526802.56","0.0","526802.56","2371356.0","0.0","2371356.0","2429313.0","0.0","2429313.0","12652.15","0.0","331639.78","0.0","344291.93","1278.44","343013.49","0.0","526802.56","8459.82","447.11","30203.36","565912.85","526802.56","160312.32","9645.99","696760.87","2028603.64","160312.32","9645.99","0.0","174943.52","2373505.47","16954.16","0.0","0.0","16954.16","14118.42","0.0","0.0","0.0","559.86","14678.29","2371356.0","174383.66","2429313.0","9170.02","0.0","195024.17","2633507.19","21185.68","0.0","0.0","21185.68","22657.08","77.29","0.0","0.0","0.0","1650.52","0.0","0.0","0.0","1650.52","2653042.36","910.57","467934.99","8935.79","0.0","9562.85","486433.63","9.92","100","92.4506","0","96.3252","3.6748","86.0374","85.7746","0.157564","8.9669","7.7149","7.6491","206.2864","77.1074","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"272","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","LT","LT2","LT2A1-N","23.1117","61.1117","N","N","Upto 11","39269","2989","42258","39269","0","39269","0","36304","2965","39269","49487267.9","0.0","49487267.9","425296051.73","0.0","425296051.73","397187408.11","0.0","397187408.11","1196254.7","0.0","33215815.5","0.0","34412070.2","99741.17","34312329.04","0.0","49487267.9","1164293.73","74870.16","4209654.89","54936086.68","49487267.9","31204254.69","561020.63","81252543.22","358734265.07","31204254.69","561020.63","0.0","31948487.38","422448027.78","3584674.4","0.0","0.0","3584674.4","553438.39","0.0","0.0","0.0","29800.02","583238.41","425296051.73","31918687.36","397187408.11","545856.39","0.0","35180796.82","432914061.32","724230.02","0.0","0.0","724230.02","3867115.76","47846.14","0.0","0.0","0.0","529428.63","0.0","0.0","0.0","529428.63","433108862.71","74154.97","77521756.55","1179457.98","0.0","947545.42","79648759.96","9.92","100","92.4495","0","96.5237","3.4763","86.1017","85.9467","0.15701","14.7415","12.6927","12.5803","876.3164","126.8175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"273","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","LT","LT2","LT2A1FL","23.1147","61.1147","N","N","Upto 11","612","47","659","612","0","612","0","566","46","612","928365.52","0.0","928365.52","5438685.65","0.0","5438685.65","5507046.55","0.0","5507046.55","20017.34","0.0","579592.98","0.0","599610.32","1147.6","598462.72","0.0","928365.52","22386.05","800.81","56808.36","1008360.74","928365.52","394719.84","11905.87","1334991.23","4648316.89","394719.84","11905.87","0.0","429876.42","5484819.02","6668.66","0.0","0.0","6668.66","29551.33","0.0","0.0","0.0","200.03","29751.36","5438685.65","429676.39","5507046.55","11757.21","0.0","480607.56","5999411.31","35448.55","0.0","0.0","35448.55","74100.31","3096.23","0.0","0.0","0.0","14843.96","0.0","0.0","0.0","14843.96","6020015.89","1845.61","858159.01","22534.72","0.0","5877.19","886570.92","9.92","100","92.4837","0","96.6616","3.3384","88.9699","87.9704","0.129872","11.3849","10.1291","10.0055","979.7554","100.8621","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"274","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","LT","LT3","LT3-N","23.1217","61.1217","N","N","Upto 11","8962","682","9644","8962","0","8962","0","8285","677","8962","183472830.08","0.0","183472830.08","790115955.84","0.0","790115955.84","857545707.25","0.0","857545707.25","2003294.25","0.0","85813840.77","0.0","87817135.02","126667.79","87690467.23","0.0","183472830.08","2354200.26","227757.16","12009985.57","198448798.9","183472830.08","51720657.24","1528501.79","236721989.1","680491014.32","51720657.24","1528501.79","0.0","59967457.7","793707631.04","3572518.72","0.0","0.0","3572518.72","445895.24","0.0","0.0","0.0","7291.9","453187.14","790115955.84","59960165.8","857545707.25","1517146.99","0.0","71442743.69","932570082.59","5398554.6","0.0","0.0","5398554.6","13144478.38","196922.22","0.0","0.0","0.0","960283.49","0.0","0.0","0.0","960283.49","937008353.7","377057.46","115666021.2","2365555.06","0.0","527407.68","118958461.02","9.92","100","92.4459","0","97.7188","2.2812","91.4616","90.503","0.115047","11.7745","10.7691","10.6195","9798.8323","107.051","384025.84","2079935.9","0.0","0.0","2079935.9","2064484.66","0.0","0.0","399477.08"
"275","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","LT","LT5","LT5-N","23.1517","61.1517","N","N","Upto 11","3189","243","3432","3189","0","3189","0","2948","241","3189","59300953.57","0.0","59300953.57","448871405.54","0.0","448871405.54","428062755.09","0.0","428062755.09","675325.22","0.0","29038984.41","0.0","29714309.63","94520.41","29619789.23","0.0","59300953.57","1726366.12","71674.75","5272194.71","66759996.13","59300953.57","33152345.61","633693.37","93086992.55","379641543.67","33152345.61","633693.37","0.0","32199511.25","445627093.9","2776194.06","0.0","0.0","2776194.06","1118410.15","0.0","0.0","0.0","156054.55","1274464.7","448871405.54","32043456.7","428062755.09","617986.48","0.0","36542922.58","468223680.42","2121694.1","0.0","0.0","2121694.1","5218077.47","20112.71","0.0","0.0","0.0","615003.84","0.0","0.0","0.0","615003.84","469730370.68","23746.06","80085857.95","1742073.01","0.0","772728.83","83065715.88","9.92","100","92.4428","0","97.7273","2.2727","87.4331","86.9151","0.153402","18.2232","15.9331","15.7575","9317.7515","158.8459","388806.98","3076265.38","0.0","0.0","3076265.38","3000016.27","0.0","0.0","465056.08"
"276","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Sahakaranagara","Sahakaranagara","LT","LT4","LT4-N","23.1417","61.1417","N","N","Upto 11","549","42","591","549","0","549","0","508","41","549","1899425.73","0.0","1899425.73","7441803.73","0.0","7441803.73","8080803.58","0.0","8080803.58","90668.76","0.0","2142049.44","0.0","2232718.2","4515.38","2228202.82","0.0","1899425.73","35019.09","866.3","68522.24","2003833.36","1899425.73","513109.65","34765.24","2447300.62","6337188.25","513109.65","34765.24","0.0","558707.62","7443770.76","39112.28","0.0","0.0","39112.28","30246.57","0.0","0.0","0.0","1585.18","31831.75","7441803.73","557122.44","8080803.58","34107.59","0.0","615364.68","8730275.85","14871.47","0.0","0.0","14871.47","126925.18","5940.55","0.0","0.0","0.0","17638.34","0.0","0.0","0.0","17638.34","8727508.98","8833.85","1251592.03","35676.73","0.0","10280.0","1297548.77","9.92","100","92.5319","0","95.9391","4.0609","89.1947","88.2642","0.130667","4.4476","3.967","3.9102","4066.882","39.4169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"277","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","HT","HT","HT1","23.2507","61.2507","N","N","11","25","2","27","25","0","25","0","23","2","25","50749007.17","0.0","50749007.17","217213471.22","0.0","217213471.22","228533749.36","0.0","228533749.36","0.0","0.0","18361390.64","0.0","18361390.64","11122.83","18350267.82","0.0","50749007.17","1326893.24","23380.78","1837254.37","54099632.2","50749007.17","15173877.35","524723.0","66447607.53","185675943.99","15173877.35","524723.0","0.0","15527966.34","216902510.69","1257903.82","0.0","0.0","1257903.82","1117577.3","0.0","0.0","0.0","64028.98","1181606.28","217213471.22","15463937.37","228533749.36","507209.22","0.0","16785618.35","247143546.73","247742.62","0.0","0.0","247742.62","3175173.46","158726.92","0.0","0.0","0.0","774812.72","0.0","0.0","0.0","774812.72","246616476.64","60349.01","39368380.02","1344407.02","0.0","515573.39","41436931.64","9.92","100","92.0","0","100.0","0.0","87.9521","87.222","0.145593","15.5004","13.6329","13.46","734455.6257","135.6851","163096.63","1362444.37","0.0","0.0","1362444.37","1316969.8","0.0","0.0","208571.21"
"278","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","HT","HT","HT2A1-N","23.2607","61.2607","N","N","Upto 11","22","2","24","22","0","22","0","20","2","22","45973892.14","0.0","45973892.14","219251258.59","0.0","219251258.59","229991964.44","0.0","229991964.44","0.0","0.0","16978920.37","0.0","16978920.37","30025.52","16948894.85","0.0","45973892.14","1171731.23","19761.39","2564002.4","49860030.83","45973892.14","14463972.29","597484.8","61035349.23","188879260.72","14463972.29","597484.8","0.0","15901313.83","219842031.64","1037716.53","0.0","0.0","1037716.53","788632.84","0.0","0.0","0.0","12615.68","801248.52","219251258.59","15888698.15","229991964.44","585117.55","0.0","18083105.56","250027009.9","1554966.19","0.0","0.0","1554966.19","2912544.81","93031.02","0.0","0.0","0.0","843541.35","0.0","0.0","0.0","843541.35","250738434.73","151674.68","35081511.62","1184098.47","0.0","369594.99","36794738.37","9.92","100","90.9091","0","100.0","0.0","89.7219","89.0164","0.130517","16.6038","14.8973","14.7257","771769.1077","148.4449","130643.66","1395711.97","0.0","0.0","1395711.97","1366822.35","0.0","0.0","159533.29"
"279","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","HT","HT","HT2A2-N","23.2237","61.2617","N","N","Upto 11","28","2","30","28","0","28","0","26","2","28","39447921.16","0.0","39447921.16","224732565.21","0.0","224732565.21","224483664.04","0.0","224483664.04","0.0","0.0","20449837.25","0.0","20449837.25","18315.31","20431521.94","0.0","39447921.16","493021.36","38834.84","3805711.71","43857543.25","39447921.16","15599030.18","730785.28","55777736.61","190887399.15","15599030.18","730785.28","0.0","16665849.29","223883063.9","1767852.66","0.0","0.0","1767852.66","582317.52","0.0","0.0","0.0","45569.39","627886.91","224732565.21","16620279.9","224483664.04","712219.72","0.0","19951482.11","246118181.54","459209.95","0.0","0.0","459209.95","2375021.76","95678.41","0.0","0.0","0.0","524263.98","0.0","0.0","0.0","524263.98","246053127.51","153043.79","39543778.53","511586.92","0.0","474509.51","40627235.57","9.92","100","92.8571","0","100.0","0.0","88.2971","88.006","0.144361","13.7619","12.1514","12.0352","730351.3304","121.3227","72054.18","996122.1","0.0","0.0","996122.1","970815.68","0.0","0.0","97360.6"
"280","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","HT","HT","HT2B1","23.2707","61.2707","N","N","11","18","1","19","18","0","18","0","17","1","18","23912923.08","0.0","23912923.08","171027170.71","0.0","171027170.71","163732913.05","0.0","163732913.05","0.0","0.0","14161355.69","0.0","14161355.69","35026.98","14126328.71","0.0","23912923.08","393814.68","34860.65","2791924.55","27216269.07","23912923.08","11557520.49","391199.14","35861642.71","147961127.38","11557520.49","391199.14","0.0","12786958.73","172696805.74","135737.86","0.0","0.0","135737.86","967133.79","0.0","0.0","0.0","31213.89","998347.68","171027170.71","12755744.84","163732913.05","372669.26","0.0","14840960.2","179726421.96","327168.95","0.0","0.0","327168.95","2550717.85","104089.87","0.0","0.0","0.0","33693.44","0.0","0.0","0.0","33693.44","180019897.47","59476.3","31147704.44","412344.57","0.0","706709.2","32388281.52","9.92","100","94.4444","0","100.0","0.0","87.3417","86.1756","0.155195","14.7369","12.8714","12.6913","786741.9827","127.9368","82746.11","818656.67","0.0","0.0","818656.67","779879.46","0.0","0.0","121523.32"
"281","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","HT","HT","HT2B2","23.2737","61.2737","N","N","11","25","2","27","25","0","25","0","23","2","25","45504232.56","0.0","45504232.56","252606667.11","0.0","252606667.11","259127601.96","0.0","259127601.96","0.0","0.0","25410683.26","0.0","25410683.26","18736.76","25391946.5","0.0","45504232.56","1312894.83","44889.38","3444028.93","50427503.44","45504232.56","18346033.42","528869.64","64379135.62","214472300.91","18346033.42","528869.64","0.0","19278321.42","252625525.39","1021975.96","0.0","0.0","1021975.96","637415.88","0.0","0.0","0.0","3297.58","640713.46","252606667.11","19275023.84","259127601.96","527142.66","0.0","22648152.43","283956999.17","2251587.02","0.0","0.0","2251587.02","3587586.56","126027.32","0.0","0.0","0.0","245967.51","0.0","0.0","0.0","245967.51","285962618.67","2647.86","38980649.85","1314621.81","0.0","70900.35","40493048.77","9.92","100","92.0","0","100.0","0.0","90.4153","89.575","0.127326","12.5155","11.3159","11.1747","1016427.3303","112.6483","121457.74","1659521.14","0.0","0.0","1659521.14","1654102.12","0.0","0.0","126876.76"
"282","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","HT","HT","HT2C1","23.2708","61.2708","N","N","11","33","2","35","33","0","33","0","31","2","33","56121324.79","0.0","56121324.79","285912980.42","0.0","285912980.42","283080176.59","0.0","283080176.59","0.0","0.0","25755849.99","0.0","25755849.99","92178.03","25663671.96","0.0","56121324.79","1097348.68","79893.89","4685212.84","62085848.44","56121324.79","21043604.36","1017306.63","78182235.78","240370582.65","21043604.36","1017306.63","0.0","20594975.69","283026469.33","1688203.67","0.0","0.0","1688203.67","267627.88","0.0","0.0","0.0","1917.76","269545.64","285912980.42","20593057.93","283080176.59","971289.04","0.0","24136646.07","309012695.21","957324.44","0.0","0.0","957324.44","3000385.09","67249.3","0.0","0.0","0.0","438941.75","0.0","0.0","0.0","438941.75","309531077.9","251253.2","58702875.42","1143366.27","0.0","1141624.69","61129001.63","9.92","100","93.9394","0","100.0","0.0","85.9784","85.5496","0.168447","14.0899","12.1143","11.9978","780480.3026","120.9452","102068.25","863650.5","0.0","0.0","863650.5","824583.51","0.0","0.0","141135.25"
"283","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","LT","LT1","LT1-M","23.1017","61.1017","N","N","Upto 11","1879","143","2022","1879","0","1879","0","1737","142","1879","242274.86","0.0","242274.86","2016729.45","0.0","2016729.45","1888138.44","0.0","1888138.44","14440.25","0.0","369746.45","0.0","384186.71","721.32","383465.39","0.0","242274.86","7173.47","252.0","28845.27","278545.6","242274.86","140802.55","4515.78","387593.18","1724480.88","140802.55","4515.78","0.0","142581.64","2012380.85","12195.53","0.0","0.0","12195.53","10583.61","0.0","0.0","0.0","375.25","10958.86","2016729.45","142206.39","1888138.44","4335.27","0.0","164574.45","2057048.16","13381.8","0.0","0.0","13381.8","23612.74","686.92","0.0","0.0","0.0","238.17","0.0","0.0","0.0","238.17","2070191.79","627.68","370238.19","7353.98","0.0","6477.21","384069.39","9.92","100","92.4428","0","96.2413","3.7587","86.2568","85.7113","0.159222","6.2786","5.4158","5.3543","204.4634","53.9747","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"284","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","LT","LT2","LT2A1-N","23.1117","61.1117","N","N","Upto 11","50270","3827","54097","50270","0","50270","0","46474","3796","50270","92202527.35","0.0","92202527.35","492180634.78","0.0","492180634.78","506461707.1","0.0","506461707.1","1668082.33","0.0","45552351.97","0.0","47220434.3","155196.7","47065237.6","0.0","92202527.35","2402771.64","160028.02","8613267.2","103378594.21","92202527.35","34333691.39","748149.57","127284368.31","423168741.75","34333691.39","748149.57","0.0","38374922.4","496625505.1","1623024.82","0.0","0.0","1623024.82","2774813.7","0.0","0.0","0.0","150623.83","2925437.53","492180634.78","38224298.57","506461707.1","735215.81","0.0","46175873.87","553372796.78","3629783.95","0.0","0.0","3629783.95","6964773.51","166046.56","0.0","0.0","0.0","356121.66","0.0","0.0","0.0","356121.66","556646459.08","185695.06","77735759.97","2415705.4","0.0","661691.9","80813157.26","9.92","100","92.4488","0","96.4675","3.5325","89.5776","88.6943","0.129191","13.2471","11.8664","11.7189","939.3363","118.1343","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"285","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","LT","LT2","LT2A1FL","23.1147","61.1147","N","N","Upto 11","651","50","701","651","0","651","0","602","49","651","495008.74","0.0","495008.74","5526286.05","0.0","5526286.05","5025255.21","0.0","5025255.21","31417.36","0.0","755138.6","0.0","786555.95","591.31","785964.64","0.0","495008.74","14384.8","655.2","79613.25","589661.98","495008.74","365089.34","7786.89","867884.96","4740587.25","365089.34","7786.89","0.0","424740.99","5538204.46","40283.19","0.0","0.0","40283.19","336.84","0.0","0.0","0.0","46.48","383.32","5526286.05","424694.51","5025255.21","7474.05","0.0","484091.73","5516820.99","5576.09","0.0","0.0","5576.09","48594.25","2416.23","0.0","0.0","0.0","13294.81","0.0","0.0","0.0","13294.81","5509102.27","207.13","995832.45","14697.64","0.0","20216.02","1030746.11","9.92","100","92.4731","0","96.0057","3.9943","86.3341","86.1184","0.159896","8.1957","7.0757","7.0139","1208.2273","70.7046","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"286","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","LT","LT3","LT3-N","23.1217","61.1217","N","N","Upto 11","9103","693","9796","9103","0","9103","0","8416","687","9103","96060672.0","0.0","96060672.0","973904955.89","0.0","973904955.89","891911766.51","0.0","891911766.51","1725680.22","0.0","74080433.94","0.0","75806114.16","200944.04","75605170.12","0.0","96060672.0","1715732.01","55516.34","8688666.19","107633804.11","96060672.0","69759064.72","1796401.32","167616138.03","832644944.81","69759064.72","1796401.32","0.0","72924700.84","977125111.68","1658254.79","0.0","0.0","1658254.79","3509175.78","0.0","0.0","0.0","152247.72","3661423.5","973904955.89","72772453.12","891911766.51","1725230.73","0.0","78379974.28","979237839.28","5724912.4","0.0","0.0","5724912.4","14221126.58","536407.94","0.0","0.0","0.0","1566906.48","0.0","0.0","0.0","1566906.48","983395845.2","118139.42","177935721.96","1786902.6","0.0","3081145.03","184214868.11","9.92","100","92.453","0","97.7236","2.2764","86.6591","85.5423","0.16069","15.1228","13.1053","12.9177","8327.5969","130.2184","1113217.57","7518748.72","0.0","0.0","7518748.72","7220867.76","0.0","0.0","1411098.52"
"287","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","LT","LT5","LT5-N","23.1517","61.1517","N","N","Upto 11","3422","260","3682","3422","0","3422","0","3164","258","3422","50211892.8","0.0","50211892.8","435878610.49","0.0","435878610.49","401848588.44","0.0","401848588.44","759792.08","0.0","32544427.55","0.0","33304219.64","42381.6","33261838.04","0.0","50211892.8","527128.13","86370.48","8015277.74","58945285.71","50211892.8","31518565.5","764606.07","82495064.37","369687566.49","31518565.5","764606.07","0.0","33086168.43","435056906.49","2363028.67","0.0","0.0","2363028.67","738327.81","0.0","0.0","0.0","128202.51","866530.32","435878610.49","32957965.92","401848588.44","731736.76","0.0","39334554.4","443126656.28","3484147.44","0.0","0.0","3484147.44","5046402.4","203592.24","0.0","0.0","0.0","1328086.0","0.0","0.0","0.0","1328086.0","445282717.72","48943.68","84192971.17","559997.44","0.0","1638689.25","86550706.93","9.92","100","92.4605","0","97.7186","2.2814","86.2012","85.6197","0.166471","15.6111","13.4569","13.3054","9732.3845","134.1272","104616.56","1266209.19","0.0","0.0","1266209.19","1211776.68","0.0","0.0","159049.06"
"288","BESCOM Corporate Office","BMAZ-North","Bengaluru North Circle","Hebbal","Vidyaranyapura","Vidyaranyapura","LT","LT4","LT4-N","23.1417","61.1417","N","N","Upto 11","696","53","749","696","0","696","0","643","53","696","1394653.74","0.0","1394653.74","9953374.18","0.0","9953374.18","9579631.4","0.0","9579631.4","112225.56","0.0","3120733.78","0.0","3232959.34","5292.22","3227667.11","0.0","1394653.74","36339.54","998.49","86079.33","1518071.09","1394653.74","699256.28","11669.89","2105579.91","8530419.75","699256.28","11669.89","0.0","761501.89","10002847.81","14864.67","0.0","0.0","14864.67","13762.57","0.0","0.0","0.0","1700.85","15463.42","9953374.18","759801.04","9579631.4","11263.72","0.0","818081.16","10408976.29","82146.49","0.0","0.0","82146.49","152622.6","3967.04","0.0","0.0","0.0","21243.05","0.0","0.0","0.0","21243.05","10469879.73","1226.18","1767170.34","36745.71","0.0","27799.2","1831715.26","9.92","100","92.3851","0","96.5287","3.4713","87.1182","85.9647","0.151091","3.7499","3.2669","3.2196","4645.0565","32.4561","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
